-BEGIN HEADER-,,,,,,,,,,,,,,,,
2021,1,1,5,0,0,0,0,0,0,0,14.96,92.19,3.53,82.62,6.2,82.84
2021,1,1,6,21.61,23.58,18.4,53.76,0.96,0.01,0.02,15.12,92.28,4.01,85.2,6.16,85.2
2021,1,1,7,188.4,197.8,113.12,275.08,9.14,0.1,0.5,16.3,92.4,5.13,86.24,6.44,86.11
2021,1,1,8,382.66,422.27,184.52,419.77,20.13,0.41,2.05,18.3,92.47,5.57,86.06,6.66,86.23
2021,1,1,9,579.21,620.38,257.49,509,32.04,0.88,4.62,20.48,92.48,5.52,83.09,6.45,83.53
2021,1,1,10,705.51,761.42,274.08,580.78,40.3,1.3,7.12,21.94,92.42,5.29,78.49,6.14,79.29
2021,1,1,11,733.85,795.1,315.16,525.43,40.92,1.38,7.62,22.97,92.32,5.08,74.02,5.88,75.15
2021,1,1,12,700.52,783.17,390.4,392.38,39.27,1.34,7.48,23.87,92.21,4.97,70.82,5.73,72.21
2021,1,1,13,628.08,695.48,321.58,423.45,34.42,1.08,6.02,24.51,92.11,4.92,68.4,5.65,69.96
2021,1,1,14,494.28,542.73,258.35,392.05,26.16,0.68,3.55,24.48,92.06,4.87,67.05,5.64,68.55
2021,1,1,15,331.65,345.67,163.47,388.78,16.4,0.3,1.5,23.82,92.06,4.74,67.23,5.71,68.49
2021,1,1,16,143.16,140.23,88.66,239.33,6.7,0.05,0.27,22.12,92.1,3.66,67.7,5.79,67.87
2021,1,1,17,12.87,9.7,11.88,33.47,0.53,0,0,18.87,92.17,3,68.12,6.63,68.21
2021,1,1,18,0,0,0,0,0,0,0,17.71,92.24,3.31,72.72,7.3,72.75
2021,1,1,19,0,0,0,0,0,0,0,17.13,92.31,3.55,78.84,7.54,78.83
2021,1,1,20,0,0,0,0,0,0,0,16.5,92.35,3.6,83.89,7.33,83.88
2021,1,1,21,0,0,0,0,0,0,0,15.72,92.37,3.37,86.81,6.88,86.68
2021,1,1,22,0,0,0,0,0,0,0,15.33,92.34,3.14,87.58,6.37,87.47
2021,1,1,23,0,0,0,0,0,0,0,15.43,92.31,3.34,87.18,6.05,87.04
2021,1,2,0,0,0,0,0,0,0,0,15.26,92.26,3.11,86.69,5.78,86.67
2021,1,2,1,0,0,0,0,0,0,0,14.95,92.19,2.62,85.73,5.39,85.59
2021,1,2,2,0,0,0,0,0,0,0,14.76,92.15,2.56,85.27,5.4,85.11
2021,1,2,3,0,0,0,0,0,0,0,14.56,92.14,2.66,85.79,5.6,85.68
2021,1,2,4,0,0,0,0,0,0,0,14.33,92.18,2.65,86.62,5.61,86.65
2021,1,2,5,0,0,0,0,0,0,0,14.08,92.26,2.56,87.02,5.51,86.99
2021,1,2,6,21.65,23.65,18.84,47.79,0.99,0.01,0.02,14.54,92.35,2.88,86.11,5.19,86.2
2021,1,2,7,154.03,202.3,99.72,199.24,8.05,0.09,0.45,16.65,92.45,4.24,85.25,5.24,85.98
2021,1,2,8,314.99,427.85,195.41,253.72,17.98,0.38,1.9,18.99,92.51,4.75,86.04,5.59,87.44
2021,1,2,9,480.93,625.38,241.69,378.66,28.52,0.8,4.3,21.31,92.49,4.78,87.75,5.56,90.08
2021,1,2,10,546.17,763.5,267.98,374.38,33.88,1.12,6.3,23.55,92.41,4.87,91.29,5.65,94.05
2021,1,2,11,502.45,768.2,320.77,227.8,30.26,1.05,5.8,25.05,92.27,4.94,91.18,5.7,93.77
2021,1,2,12,474.27,764.67,314.48,201.88,28.48,0.99,5.48,25.92,92.13,5,87.94,5.75,90.47
2021,1,2,13,375.38,681.38,232.27,197.3,22.35,0.72,4.05,26.17,92.03,5.14,84.15,5.89,86.35
2021,1,2,14,242.78,532.3,174.73,112.7,15.12,0.42,2.23,26,91.97,5.1,81.46,5.94,83.28
2021,1,2,15,139.43,337.95,104.87,79.49,8.34,0.16,0.85,25.35,91.96,4.96,77.74,5.94,79
2021,1,2,16,63.49,134.17,52.69,46.98,3.7,0.03,0.17,23.91,92.01,4.3,72.03,5.78,72.23
2021,1,2,17,9.51,9.67,8.61,29.23,0.37,0,0,21.39,92.09,2.8,67.16,5.95,67.21
2021,1,2,18,0,0,0,0,0,0,0,20.4,92.19,2.96,67.5,6.27,67.5
2021,1,2,19,0,0,0,0,0,0,0,19.76,92.27,3,71.47,6.08,71.5
2021,1,2,20,0,0,0,0,0,0,0,19.08,92.29,3.01,77.26,5.92,77.19
2021,1,2,21,0,0,0,0,0,0,0,18.51,92.28,3.06,81.48,5.8,81.48
2021,1,2,22,0,0,0,0,0,0,0,18.3,92.25,3.14,84.01,5.52,83.91
2021,1,2,23,0,0,0,0,0,0,0,18.02,92.21,3.04,85.14,5.4,85.11
2021,1,3,0,0,0,0,0,0,0,0,17.68,92.15,3.06,85.31,5.49,85.34
2021,1,3,1,0,0,0,0,0,0,0,17.39,92.09,3.15,84.73,5.6,84.88
2021,1,3,2,0,0,0,0,0,0,0,17.14,92.04,3.1,83.63,5.53,83.76
2021,1,3,3,0,0,0,0,0,0,0,16.82,92.05,2.66,82.75,5.2,82.83
2021,1,3,4,0,0,0,0,0,0,0,16.58,92.07,2.55,82.44,5.28,82.6
2021,1,3,5,0,0,0,0,0,0,0,16.4,92.13,2.7,82.34,5.49,82.39
2021,1,3,6,17.46,21.12,14.91,44.16,0.87,0,0.02,16.71,92.21,3.17,83.21,5.19,83.08
2021,1,3,7,160.79,189.7,100.75,221.1,8.48,0.09,0.45,18.4,92.28,4.58,87.75,5.66,88.65
2021,1,3,8,315.88,406.55,202.79,240.27,18.47,0.38,1.92,20.28,92.33,4.99,93.59,5.83,94.38
2021,1,3,9,520.12,597.6,240.78,442.26,30.62,0.84,4.42,22.05,92.31,4.9,97.79,5.68,98.87
2021,1,3,10,646.48,716.3,268.16,508.93,38.11,1.22,6.62,23.85,92.25,4.89,102.26,5.67,103.63
2021,1,3,11,736.98,812.77,263.87,592.62,45.16,1.57,8.55,25.3,92.13,4.87,105.44,5.66,107.11
2021,1,3,12,675.77,808.8,322.23,445.94,42.48,1.48,8.15,26.33,92.01,4.86,105.76,5.64,107.66
2021,1,3,13,476.77,723.95,200.71,379.66,29.98,0.97,5.35,26.88,91.9,4.9,104.68,5.69,106.52
2021,1,3,14,354.98,562.6,232.38,202.42,22.57,0.62,3.3,26.9,91.86,4.81,103.13,5.62,104.73
2021,1,3,15,205.71,362.92,143.75,141.8,12.84,0.26,1.3,26.26,91.86,4.61,101.73,5.54,103.04
2021,1,3,16,102.88,154.05,74.3,123.09,5.79,0.05,0.25,24.68,91.91,3.56,97.81,5.33,97.83
2021,1,3,17,11.27,11.65,9.94,41.79,0.47,0,0,22.03,91.99,2.65,90.34,5.87,90.46
2021,1,3,18,0,0,0,0,0,0,0,21.05,92.07,3.2,87.2,6.72,87.47
2021,1,3,19,0,0,0,0,0,0,0,20.4,92.15,3.81,86,6.84,86.2
2021,1,3,20,0,0,0,0,0,0,0,19.68,92.19,3.97,84.47,6.49,84.54
2021,1,3,21,0,0,0,0,0,0,0,19.14,92.2,4.25,83.88,6.66,84.01
2021,1,3,22,0,0,0,0,0,0,0,18.83,92.17,4.48,84.2,6.63,84.32
2021,1,3,23,0,0,0,0,0,0,0,18.47,92.12,4.11,83.89,6.25,83.97
2021,1,4,0,0,0,0,0,0,0,0,18.15,92.07,4.04,83.45,6.28,83.64
2021,1,4,1,0,0,0,0,0,0,0,17.87,92.02,4.05,83.03,6.41,83.14
2021,1,4,2,0,0,0,0,0,0,0,17.67,91.98,4.35,84.74,6.79,84.98
2021,1,4,3,0,0,0,0,0,0,0,17.4,91.99,4.22,87.88,6.69,88.06
2021,1,4,4,0,0,0,0,0,0,0,17.15,92.02,4,92.01,6.57,92.11
2021,1,4,5,0,0,0,0,0,0,0,16.96,92.08,3.9,96.33,6.51,96.34
2021,1,4,6,19.27,22.15,16.15,54.84,0.89,0,0.02,17.18,92.15,4.26,100.03,6.31,99.98
2021,1,4,7,133.29,196.45,80.43,195.38,7.09,0.08,0.4,18.74,92.23,5.28,103.77,6.53,104.2
2021,1,4,8,187.89,420.6,150.2,80.19,12.45,0.28,1.42,20.98,92.29,5.58,106.51,6.56,107.31
2021,1,4,9,289.8,613,209.55,127.09,19.49,0.59,3.15,23.07,92.28,5.33,106.44,6.16,107.65
2021,1,4,10,282.69,748.3,211.72,95.42,20.2,0.72,4.02,24.82,92.21,4.98,105.45,5.7,107.07
2021,1,4,11,336.14,810.02,251.59,105.8,23.96,0.91,4.92,26.06,92.12,4.68,103.32,5.3,105.2
2021,1,4,12,344.99,797.5,259.28,107.93,23.89,0.88,4.8,26.78,92,4.52,100.05,5.08,102.16
2021,1,4,13,374.37,714.25,276.52,134.25,24.62,0.84,4.73,27.01,91.92,4.54,96.43,5.09,98.39
2021,1,4,14,295.27,565.73,220.16,123.59,18.95,0.55,2.92,26.8,91.89,4.63,93.39,5.23,94.88
2021,1,4,15,189.89,373.17,142.13,108.74,11.58,0.24,1.23,26.05,91.91,4.67,91.92,5.48,93.02
2021,1,4,16,81.62,156.4,63.73,76.28,4.8,0.05,0.25,24.41,91.97,4.07,91.76,5.82,92
2021,1,4,17,9.87,11.73,8.62,37.66,0.41,0,0,21.53,92.05,3.22,92.92,6.88,93
2021,1,4,18,0,0,0,0,0,0,0,20.42,92.15,4,96.85,7.77,96.75
2021,1,4,19,0,0,0,0,0,0,0,19.34,92.23,4.13,99.36,7.7,99.4
2021,1,4,20,0,0,0,0,0,0,0,18.54,92.26,3.92,100.33,7.26,100.29
2021,1,4,21,0,0,0,0,0,0,0,17.97,92.24,3.58,102.09,6.77,101.98
2021,1,4,22,0,0,0,0,0,0,0,17.85,92.19,3.43,104.26,6.4,104.21
2021,1,4,23,0,0,0,0,0,0,0,18.01,92.15,3.5,104.87,6.38,104.75
2021,1,5,0,0,0,0,0,0,0,0,17.87,92.1,3.35,104.04,6.29,104.09
2021,1,5,1,0,0,0,0,0,0,0,17.58,92.04,3.31,102.56,6.43,102.57
2021,1,5,2,0,0,0,0,0,0,0,17.19,91.99,3.16,101.7,6.27,101.8
2021,1,5,3,0,0,0,0,0,0,0,16.87,91.99,2.91,100.04,5.87,100.19
2021,1,5,4,0,0,0,0,0,0,0,16.57,92.03,2.75,98.18,5.6,98.19
2021,1,5,5,0,0,0,0,0,0,0,16.5,92.12,2.83,96.97,5.57,97.09
2021,1,5,6,19.55,20.45,16.76,49.75,0.86,0,0.02,16.98,92.21,3.44,96.64,5.33,96.82
2021,1,5,7,125.09,183,96.23,107.04,7.12,0.08,0.4,18.56,92.31,4.43,96.49,5.44,96.85
2021,1,5,8,265.35,402.38,202.66,133.51,15.96,0.34,1.73,21.27,92.36,4.96,97.24,5.96,98.6
2021,1,5,9,410.3,601.95,315.51,150.12,25.66,0.74,4.02,23.68,92.34,5.07,98.69,5.97,100.4
2021,1,5,10,534.8,738.73,357.16,238.69,33.64,1.12,6.38,25.35,92.26,4.81,96.91,5.6,98.66
2021,1,5,11,555.63,741.73,339.95,269.54,33.23,1.15,6.3,26.31,92.16,4.53,96.05,5.22,97.74
2021,1,5,12,517.47,750.4,343.03,219.27,31.25,1.09,6.02,26.33,92.05,4.39,97.15,5.05,98.44
2021,1,5,13,455.78,666.83,348.26,147.17,27.37,0.88,5.05,25.95,91.97,4.33,99.34,5.03,100.28
2021,1,5,14,342.32,516.33,276.42,108.06,20.52,0.56,3.05,25.4,91.94,4.26,100.88,5.06,101.31
2021,1,5,15,203.13,326.4,172.07,70.37,12.04,0.24,1.23,24.51,91.95,4.09,102.23,5.02,102.5
2021,1,5,16,89.98,130.83,78.44,48.7,5.02,0.05,0.25,23.33,92.02,3.25,104.47,4.54,104.97
2021,1,5,17,11.61,10.73,10.39,35.33,0.46,0,0,21.9,92.09,2.07,106.86,4.27,108
2021,1,5,18,0,0,0,0,0,0,0,21.34,92.18,2.13,109.5,4.6,110.37
2021,1,5,19,0,0,0,0,0,0,0,20.93,92.24,2.13,110.16,4.63,110.64
2021,1,5,20,0,0,0,0,0,0,0,20.56,92.25,2.49,105.26,5.35,105.58
2021,1,5,21,0,0,0,0,0,0,0,20.4,92.24,3.06,102.69,5.97,103.09
2021,1,5,22,0,0,0,0,0,0,0,20.2,92.21,3.07,103.68,5.77,104.04
2021,1,5,23,0,0,0,0,0,0,0,20.09,92.15,3.37,106.71,5.74,106.68
2021,1,6,0,0,0,0,0,0,0,0,19.85,92.1,3.29,110.29,5.74,110.48
2021,1,6,1,0,0,0,0,0,0,0,19.53,92.04,3.09,113.26,5.59,113.48
2021,1,6,2,0,0,0,0,0,0,0,19.23,92,2.95,115.95,5.5,116.06
2021,1,6,3,0,0,0,0,0,0,0,18.82,92,2.7,119.31,5.37,119.48
2021,1,6,4,0,0,0,0,0,0,0,18.36,92.03,2.35,122.37,5.02,122.4
2021,1,6,5,0,0,0,0,0,0,0,17.97,92.09,2.11,123.22,4.64,123.18
2021,1,6,6,20.45,21.33,17.35,56.19,0.93,0,0.02,18.32,92.18,2.45,121.56,4.22,121.69
2021,1,6,7,139.77,183.15,89.58,186.73,7.41,0.08,0.4,19.98,92.27,3.64,117.06,4.48,117.19
2021,1,6,8,230.31,397.55,133.86,205.59,13.85,0.29,1.45,22.08,92.33,4.5,115.19,5.44,115.79
2021,1,6,9,307.66,598.38,139.51,266.28,19.47,0.55,2.92,24.08,92.32,4.82,115.53,5.68,116.18
2021,1,6,10,304.34,740.88,230.95,98.55,21.55,0.75,4.2,25.52,92.24,4.79,114.98,5.59,115.78
2021,1,6,11,364.33,801.3,267.1,121.35,25.54,0.95,5.12,26.41,92.11,4.59,113.99,5.3,114.94
2021,1,6,12,392.83,787.75,278.2,143.81,26.57,0.96,5.25,26.75,91.97,4.28,112.97,4.92,114
2021,1,6,13,340.12,709.55,262.55,105.91,23.55,0.8,4.48,26.72,91.87,3.87,111.69,4.43,112.95
2021,1,6,14,274.2,564.45,205.85,111.68,18.15,0.52,2.8,26.17,91.82,3.56,110.31,4.09,111.27
2021,1,6,15,158.52,370.02,129.61,65.14,10.55,0.22,1.12,25.19,91.82,3.35,108.05,3.99,108.72
2021,1,6,16,70.89,158.3,56.98,58.19,4.15,0.04,0.2,23.73,91.87,2.71,105.92,3.89,106.1
2021,1,6,17,12.41,13.25,11.07,37.35,0.53,0,0.02,22.19,91.96,1.97,105.14,3.79,105.18
2021,1,6,18,0,0,0,0,0,0,0,21.62,92.04,1.88,106.63,3.73,106.8
2021,1,6,19,0,0,0,0,0,0,0,21.43,92.11,2.18,109.86,3.94,110.41
2021,1,6,20,0,0,0,0,0,0,0,21.3,92.15,2.57,112.51,4.35,113.25
2021,1,6,21,0,0,0,0,0,0,0,21.09,92.16,3.28,114.06,5.21,114.37
2021,1,6,22,0,0,0,0,0,0,0,20.72,92.13,3.8,113.09,5.71,113.3
2021,1,6,23,0,0,0,0,0,0,0,20.19,92.08,3.63,113.86,5.54,114.14
2021,1,7,0,0,0,0,0,0,0,0,19.68,92.02,3.23,117.87,5.25,117.79
2021,1,7,1,0,0,0,0,0,0,0,19.3,91.94,3.26,121.79,5.34,121.29
2021,1,7,2,0,0,0,0,0,0,0,18.92,91.9,3.07,127.34,5.35,126.92
2021,1,7,3,0,0,0,0,0,0,0,18.69,91.92,3.06,131.9,5.5,131.66
2021,1,7,4,0,0,0,0,0,0,0,18.55,91.95,2.77,131.23,5.17,131.01
2021,1,7,5,0,0,0,0,0,0,0,18.47,91.98,2.46,120.06,4.74,120.07
2021,1,7,6,14.12,20.75,11.52,47.61,0.63,0,0,18.66,92.07,2.76,103.92,4.49,104.62
2021,1,7,7,103.55,182.12,89.43,52.7,5.9,0.07,0.33,19.61,92.17,3.9,95.52,4.9,96.23
2021,1,7,8,222.23,401.23,185.82,77.66,13.9,0.3,1.52,20.84,92.23,4.76,95.46,5.81,96.1
2021,1,7,9,314,591.45,247.06,105.98,20.56,0.6,3.27,22.21,92.21,5.13,97.61,6.13,98.21
2021,1,7,10,335.46,724.17,256.93,105.37,23.48,0.81,4.6,23.54,92.13,5.23,100.94,6.16,101.34
2021,1,7,11,417.05,818.88,313.39,129.22,29.62,1.09,5.88,24.9,92,4.87,104.68,5.68,105.14
2021,1,7,12,320.87,811.75,237.85,103.97,23.78,0.87,4.73,25.68,91.86,4.35,107.13,5.04,107.79
2021,1,7,13,233.53,731.67,174.54,80.34,17.55,0.6,3.35,25.93,91.75,3.99,108.12,4.63,108.8
2021,1,7,14,219.88,581.4,166.6,86.74,15.5,0.45,2.4,25.83,91.69,3.69,107.48,4.29,108.24
2021,1,7,15,170.85,379.88,127.08,98.15,10.88,0.23,1.12,25.2,91.68,3.36,104.94,4.03,105.63
2021,1,7,16,86.56,162.52,62.51,99.61,4.98,0.05,0.25,24.1,91.72,2.79,100.96,4,101.16
2021,1,7,17,15.98,13.92,14.12,50.06,0.71,0,0.02,22.23,91.81,2.06,96.75,4.43,96.99
2021,1,7,18,0,0,0,0,0,0,0,21.46,91.91,2.43,95.34,5.14,95.75
2021,1,7,19,0,0,0,0,0,0,0,21.04,91.99,2.98,95.88,5.42,96.2
2021,1,7,20,0,0,0,0,0,0,0,20.63,92.04,3.28,96.16,5.38,96.33
2021,1,7,21,0,0,0,0,0,0,0,20.34,92.04,3.35,94.95,5.26,95.11
2021,1,7,22,0,0,0,0,0,0,0,20.08,91.99,3.28,94.1,5.13,94.19
2021,1,7,23,0,0,0,0,0,0,0,19.76,91.94,3.45,95.19,5.31,95.65
2021,1,8,0,0,0,0,0,0,0,0,19.36,91.85,3.7,96.18,5.61,96.47
2021,1,8,1,0,0,0,0,0,0,0,18.99,91.76,3.85,94.77,5.75,94.91
2021,1,8,2,0,0,0,0,0,0,0,18.68,91.7,3.68,95,5.58,95.14
2021,1,8,3,0,0,0,0,0,0,0,18.44,91.7,3.26,98.54,5.18,98.59
2021,1,8,4,0,0,0,0,0,0,0,18.19,91.76,2.47,103.9,4.54,103.94
2021,1,8,5,0,0,0,0,0,0,0,17.94,91.86,2.02,107.8,4.21,107.73
2021,1,8,6,20.88,22.65,17.16,68.99,0.95,0.01,0.02,18.24,91.96,2.77,106.54,4.36,106.88
2021,1,8,7,131.13,200.17,91.7,147.52,7.58,0.09,0.4,19.51,92.06,4.07,109.06,4.97,109.86
2021,1,8,8,273.73,419.65,200.45,156.41,17.22,0.37,1.83,21.91,92.11,4.71,118.86,5.59,119.82
2021,1,8,9,414.13,610.4,251.68,257.14,26.41,0.75,4,24.38,92.1,4.81,126.81,5.63,127.62
2021,1,8,10,501.99,747.95,346.69,208.18,32.75,1.09,6.2,25.98,92.03,4.39,128.79,5.08,129.64
2021,1,8,11,627.06,830.4,339.72,357.65,40.91,1.45,7.88,27.01,91.93,3.82,127.43,4.37,128.69
2021,1,8,12,611.2,821.55,363.94,309.04,39.37,1.4,7.6,27.63,91.82,3.27,126.05,3.73,128.02
2021,1,8,13,486.43,738.55,310.52,238.9,31.56,1.04,5.83,27.64,91.73,2.82,122.9,3.2,125.36
2021,1,8,14,313.63,588.42,248.38,105.88,21,0.6,3.23,26.88,91.68,2.35,118.78,2.75,120.8
2021,1,8,15,221,383.2,135.38,190.95,13.59,0.27,1.38,25.79,91.7,2.2,108.89,2.63,110
2021,1,8,16,118.7,161.55,81.6,152.12,6.4,0.06,0.3,24.43,91.76,1.95,96.9,2.99,97.2
2021,1,8,17,15.45,14.12,13.41,53.43,0.67,0,0.02,22.93,91.84,1.87,89.04,3.71,88.67
2021,1,8,18,0,0,0,0,0,0,0,22.17,91.92,2.37,88.3,4.56,88.23
2021,1,8,19,0,0,0,0,0,0,0,21.74,92.01,2.86,91.57,4.89,91.56
2021,1,8,20,0,0,0,0,0,0,0,21.42,92.06,2.94,95.03,4.83,95.1
2021,1,8,21,0,0,0,0,0,0,0,21.15,92.05,2.99,97.81,4.88,98
2021,1,8,22,0,0,0,0,0,0,0,20.87,92,3.12,100.83,5.12,101
2021,1,8,23,0,0,0,0,0,0,0,20.5,91.94,3.16,102.11,5.39,102.3
2021,1,9,0,0,0,0,0,0,0,0,20.19,91.88,3.33,100.55,5.62,100.73
2021,1,9,1,0,0,0,0,0,0,0,19.89,91.83,3.19,98.31,5.43,98.43
2021,1,9,2,0,0,0,0,0,0,0,19.55,91.78,2.83,96.18,5.13,96.29
2021,1,9,3,0,0,0,0,0,0,0,19.2,91.79,2.51,94.11,4.96,94.25
2021,1,9,4,0,0,0,0,0,0,0,18.9,91.83,2.43,93.13,4.98,93.14
2021,1,9,5,0,0,0,0,0,0,0,18.67,91.89,2.49,93.96,5.12,93.94
2021,1,9,6,23.02,19.58,19.85,59.45,1.03,0,0.02,18.97,91.99,3.2,95.04,5.14,95.05
2021,1,9,7,87.69,169.92,70.46,64.59,5.28,0.05,0.27,20.35,92.09,4.73,98.75,5.92,99.5
2021,1,9,8,172.22,377.88,141.88,64.8,11.16,0.23,1.17,22.19,92.14,5.29,101.06,6.26,101.73
2021,1,9,9,217.8,579.7,168.8,77.52,15.12,0.44,2.33,24.42,92.12,4.94,99.83,5.67,100.72
2021,1,9,10,247.23,721.02,186.45,81.38,17.71,0.6,3.35,26.04,92.05,4.47,97.32,5.07,98.59
2021,1,9,11,318.29,806.65,231.04,108.43,22.66,0.81,4.33,27.12,91.96,4.16,94.85,4.68,96.23
2021,1,9,12,365.84,802.95,274.38,114.09,25.68,0.91,4.9,27.57,91.85,3.92,93.65,4.39,95.2
2021,1,9,13,344.63,725,205.8,188.02,22.38,0.73,4.1,27.44,91.74,3.81,94.11,4.28,95.45
2021,1,9,14,322.86,577.92,257.18,106.18,21.18,0.59,3.12,26.83,91.7,3.8,94.6,4.41,95.59
2021,1,9,15,215.62,380.67,180.77,77.33,13.62,0.27,1.38,26.16,91.72,4.01,93.24,4.79,94.02
2021,1,9,16,94.78,168.6,80.61,57.57,5.55,0.05,0.27,24.94,91.79,3.66,91.1,5.16,91.39
2021,1,9,17,16.88,14.98,15.19,42.7,0.73,0,0.02,22.73,91.88,3.05,90,6.19,90.51
2021,1,9,18,0,0,0,0,0,0,0,21.78,92,3.95,93.85,7.15,94.2
2021,1,9,19,0,0,0,0,0,0,0,21.04,92.12,4.55,97.89,7.21,98.16
2021,1,9,20,0,0,0,0,0,0,0,20.14,92.19,4.21,101.35,6.55,101.7
2021,1,9,21,0,0,0,0,0,0,0,19.33,92.19,3.61,104.43,5.96,104.66
2021,1,9,22,0,0,0,0,0,0,0,18.95,92.14,3.25,105.61,5.39,105.57
2021,1,9,23,0,0,0,0,0,0,0,18.81,92.09,3.19,105.5,5.08,105.43
2021,1,10,0,0,0,0,0,0,0,0,18.65,92.03,2.93,104.81,4.75,104.86
2021,1,10,1,0,0,0,0,0,0,0,18.44,91.97,2.62,102.05,4.54,102.01
2021,1,10,2,0,0,0,0,0,0,0,18.24,91.93,2.54,95.82,4.54,95.93
2021,1,10,3,0,0,0,0,0,0,0,18.09,91.91,2.8,89.68,4.79,89.81
2021,1,10,4,0,0,0,0,0,0,0,17.94,91.93,2.96,86.82,4.94,87.01
2021,1,10,5,0,0,0,0,0,0,0,17.8,91.98,3.06,86.93,4.98,87.12
2021,1,10,6,24.84,22,21.84,56.78,1.09,0,0.02,17.89,92.07,3.31,89.19,4.79,89.35
2021,1,10,7,168.62,201.17,119.62,184.08,8.91,0.09,0.4,19.24,92.18,4.21,91.17,5.21,91.63
2021,1,10,8,358.99,424.1,219.58,297.78,20.28,0.38,1.9,21.51,92.24,4.86,92.4,5.84,93.38
2021,1,10,9,524.54,620.23,312.34,335.56,30.9,0.8,4.25,23.76,92.26,4.97,92.52,5.85,93.6
2021,1,10,10,622.8,760.42,424.04,265.88,38.29,1.18,6.6,25.44,92.19,4.73,87.16,5.49,88.37
2021,1,10,11,647.12,830.05,418.24,283.98,40.11,1.34,7.15,26.59,92.08,4.7,80.33,5.38,81.56
2021,1,10,12,611.31,825.55,424.72,232.23,38.35,1.28,6.88,27.28,91.96,4.92,75.46,5.6,76.53
2021,1,10,13,607.23,744.88,396.98,283.98,37.17,1.14,6.3,27.41,91.85,5.18,72.8,5.91,73.65
2021,1,10,14,491.07,596.52,305.95,298.16,29.06,0.74,3.88,27.08,91.8,5.36,71.3,6.25,71.93
2021,1,10,15,317.43,396.67,207.92,241.66,18.11,0.33,1.62,26.26,91.8,5.38,70.49,6.52,70.83
2021,1,10,16,148.69,178.38,102.05,187.57,7.75,0.06,0.33,24.93,91.84,4.69,70.33,6.33,70.45
2021,1,10,17,17.93,15.75,15.82,51.63,0.77,0,0.02,22.4,91.93,3.14,72.33,6.55,72.5
2021,1,10,18,0,0,0,0,0,0,0,21.22,92.05,3.26,76.56,6.84,76.6
2021,1,10,19,0,0,0,0,0,0,0,20.43,92.17,3.27,79.39,6.67,79.48
2021,1,10,20,0,0,0,0,0,0,0,19.75,92.23,3.28,80.94,6.46,80.96
